ID	Раздел DOCX	Требование	Состояние	Где реализовано	Проверка и ограничение
F-29	Фото 29	Тема, общий accent, свой цвет, непрозрачность и live preview	ЧАСТИЧНО	App; Features/Overlay	Тема и непрозрачность есть; настраиваемого accent и полного preview нет
F-30	Фото 30	Настраиваемые шаги геометрии и индикатор реальных статусов	ЧАСТИЧНО	Features/Overlay; Features/Settings	Статусы диагностики есть; шаги и отдельный индикатор не готовы
F-31	Фото 31	Конструктор раскладки панели встречи и быстрых действий	НЕТ	Features/Settings/SettingsView.swift	Предпросмотр и все элементы управления присутствуют; перетаскиваемая раскладка пока не сохраняется
F-32	Фото 32	Отдельный телесуфлёр с пятью рабочими вкладками	ЧАСТИЧНО	Features/Teleprompter	Отдельное защищённое окно, пять вкладок, источники текста, активное слово, скорость, пауза, положение, прозрачность и click-through работают; расширенные цвета и экспорт не сделаны
F-33	Фото 33	Порядок сообщений, размер текста, тема кода и прокрутка блоков	ЧАСТИЧНО	Features/Overlay	Markdown и копирование кода есть; настройки отображения не готовы
F-34	Фото 34	Умная автопрокрутка и сворачивание групп транскрипций и AI	ЧАСТИЧНО	Features/Overlay; Features/Transcription	Базовая автопрокрутка есть; управление группами не готово
F-35	Фото 35	Компактные действия, лупа схем и режим отмены ответа	ЧАСТИЧНО	Features/QuickActions; Features/Meetings	Отмена есть; режим частичного сохранения и лупа не готовы
F-36	Фото 36	Язык, защита захвата, прокси, обновления и сброс обучения	ЧАСТИЧНО	Features/Settings	Разрешения и защита отражены; прокси и обновления не готовы
F-37	Фото 37	Реальные размеры локального хранилища и открытие папок	НЕТ	Features/Settings/SettingsView.swift	Полный экран статистики и кнопки папок присутствуют; реальные размеры пока не рассчитываются
F-38	Фото 38	Безопасное создание отдельной копии приложения с именем и иконкой	НЕТ	Features/Settings/SettingsView.swift	Интерфейс имени, значка и предпросмотра присутствует; копия приложения не создаётся
F-39	Фото 39	Активная встреча, поддиалоги, audio menu, быстрые действия и Home	ЧАСТИЧНО	Features/Overlay; Features/Audio	Базовое окно работает; все режимы меню и визуальное соответствие не приняты
